Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,LR
1,6.2118,2.60,6.2555,1.45,0.001000
2,6.1554,14.58,6.2544,0.00,0.000976
3,6.0992,27.60,6.2070,7.25,0.000905
4,6.0332,39.06,6.1126,15.94,0.000794
5,6.0143,31.77,6.0679,27.54,0.000655
6,5.9841,36.46,6.1053,15.94,0.000501
7,5.9616,44.79,5.9642,37.68,0.000346
8,5.9273,47.92,5.9760,40.58,0.000207
9,5.9227,46.35,5.9682,44.93,0.000096
10,5.9109,50.52,5.9476,42.03,0.000025
11,5.9311,40.62,6.0250,30.43,0.001000
12,5.9673,36.46,6.0362,18.84,0.000994
13,6.0079,31.77,6.2651,1.45,0.000976
14,6.0039,34.38,6.1473,13.04,0.000946
15,5.9771,33.85,6.0693,15.94,0.000905
16,5.9528,36.46,6.0785,23.19,0.000854
17,5.9355,41.15,5.9456,39.13,0.000794
18,5.9236,40.62,5.9275,40.58,0.000727
19,5.8918,44.79,5.9684,40.58,0.000655
20,5.8549,52.60,5.9339,37.68,0.000579
21,5.8514,50.52,5.9272,44.93,0.000501
22,5.8672,51.56,5.9084,46.38,0.000422
23,5.8318,57.29,5.8701,46.38,0.000346
24,5.7911,66.15,5.8790,46.38,0.000274
25,5.7866,63.02,5.8549,47.83,0.000207
26,5.8058,60.94,5.8490,49.28,0.000147
27,5.7819,68.23,5.8512,52.17,0.000096
28,5.7701,64.06,5.8370,52.17,0.000055
29,5.7639,70.31,5.8304,52.17,0.000025
30,5.7639,67.19,5.8304,49.28,0.000007
31,5.7998,63.02,5.8563,53.62,0.001000
32,5.8169,58.33,5.8829,39.13,0.000998
33,5.8430,54.69,6.0625,23.19,0.000994
34,5.8505,52.08,6.0620,24.64,0.000986
35,5.8582,51.56,5.9698,28.99,0.000976
36,5.8253,58.85,5.9478,34.78,0.000962
37,5.8161,57.29,6.1081,17.39,0.000946
38,5.8092,64.06,5.9578,34.78,0.000926
39,5.7867,62.50,6.0028,28.99,0.000905
40,5.8164,58.33,5.9848,28.99,0.000880
41,5.8002,61.46,5.8679,43.48,0.000854
42,5.7919,58.33,5.9446,36.23,0.000825
43,5.8163,54.69,5.9817,26.09,0.000794
44,5.7865,60.42,5.8678,42.03,0.000761
45,5.7898,60.42,5.9351,39.13,0.000727
46,5.7626,61.98,5.8216,50.72,0.000692
47,5.7306,67.19,5.7815,55.07,0.000655
48,5.7058,70.31,5.7538,52.17,0.000617
49,5.7003,72.40,5.8089,47.83,0.000579
50,5.7090,74.48,5.7961,50.72,0.000540
51,5.6963,70.83,5.7913,52.17,0.000501
52,5.6773,72.40,5.7907,47.83,0.000461
53,5.6850,73.44,5.7760,47.83,0.000422
54,5.6616,72.40,5.7567,52.17,0.000384
55,5.6539,77.60,5.7521,55.07,0.000346
56,5.6434,77.60,5.7899,50.72,0.000309
57,5.6480,78.65,5.8240,46.38,0.000274
58,5.6638,77.60,5.7678,55.07,0.000240
59,5.6653,70.83,5.7642,56.52,0.000207
60,5.6489,80.21,5.7576,56.52,0.000176
61,5.6485,77.08,5.7542,56.52,0.000147
62,5.6809,77.60,5.7478,57.97,0.000121
63,5.6405,78.12,5.7561,57.97,0.000096
64,5.6314,81.77,5.7512,59.42,0.000075
65,5.6380,79.17,5.7607,55.07,0.000055
66,5.6633,78.65,5.7557,55.07,0.000039
67,5.6411,80.73,5.7655,55.07,0.000025
68,5.6281,79.69,5.7598,53.62,0.000015
69,5.6495,77.60,5.7610,52.17,0.000007
70,5.6455,80.21,5.7731,53.62,0.000003
71,5.6894,74.48,5.9122,27.54,0.001000
72,5.7879,57.29,5.9255,33.33,0.001000
73,5.8006,65.62,5.9027,37.68,0.000998
74,5.7844,64.58,5.8232,47.83,0.000997
75,5.7468,66.15,5.7648,55.07,0.000994
76,5.7550,70.31,5.8303,44.93,0.000990
77,5.7485,65.62,6.0344,20.29,0.000986
78,5.7176,66.15,5.9864,31.88,0.000981
79,5.7213,70.83,5.9227,36.23,0.000976
80,5.7186,63.02,5.8772,36.23,0.000969
81,5.6624,76.04,5.7972,47.83,0.000962
82,5.6634,74.48,5.7459,57.97,0.000954
83,5.6791,77.08,5.8508,44.93,0.000946
84,5.7192,72.92,5.9706,31.88,0.000936
85,5.6953,72.40,5.9107,42.03,0.000926
86,5.6790,75.52,5.8357,47.83,0.000916
87,5.6539,75.52,5.7886,49.28,0.000905
88,5.6311,79.69,5.7626,52.17,0.000893
89,5.6118,80.21,5.8094,47.83,0.000880
90,5.6214,78.12,5.7681,49.28,0.000867
91,5.6555,74.48,5.7895,49.28,0.000854
92,5.6158,77.60,5.7837,49.28,0.000840
93,5.6523,76.56,5.9621,26.09,0.000825
94,5.7590,57.29,5.9009,33.33,0.000810
95,5.7690,58.85,5.8518,37.68,0.000794
96,5.7234,65.10,5.8179,47.83,0.000778
97,5.6942,73.96,5.8207,42.03,0.000761
98,5.6945,67.71,5.8276,46.38,0.000745
99,5.6404,73.44,5.7881,50.72,0.000727
100,5.6217,76.04,5.7281,55.07,0.000710
